Ref,Val,Package,PosX,PosY,Rot,Side
"BT1","Battery_Cell","BatteryHolder_Keystone_106_1x20mm",-1.374555,2.359842,180.000000,bottom
"C1","C_0805_0.1uf","C_0805_2012Metric",-3.817323,1.709843,-90.000000,bottom
"C4","C_0805_10uf","C_0805_2012Metric",-2.767323,1.809843,-90.000000,bottom
"C5","C_0805_1uf","C_0805_2012Metric",-2.867323,1.809843,-90.000000,bottom
"C8","C_0805_0.1uf","C_0805_2012Metric",-2.967323,1.809843,-90.000000,bottom
"C9","C_0805_0.1uf","C_0805_2012Metric",-3.183858,1.259843,0.000000,bottom
"C10","C_0805_1uf","C_0805_2012Metric",-1.967323,2.443307,90.000000,bottom
"C11","C_0805_0.1uf","C_0805_2012Metric",-2.067323,2.429990,90.000000,bottom
"C13","C_0805_0.1uf","C_0805_2012Metric",-1.733858,0.209843,180.000000,bottom
"C16","C_0805_1uf","C_0805_2012Metric",-2.217323,3.059843,-90.000000,bottom
"C17","C_0805_1uf","C_0805_2012Metric",-1.083858,1.409843,180.000000,bottom
"C22","C_0805_10uf","C_0805_2012Metric",-1.026529,1.507658,180.000000,bottom
"C23","C_0805_10uf","C_0805_2012Metric",-2.317323,3.059843,-90.000000,bottom
"C24","C_0805_10uf","C_0805_2012Metric",-1.867323,2.443307,90.000000,bottom
"J1","Power_inlet_vertical","Wurth-694106402002",-2.467323,1.959843,90.000000,bottom
"J2","Conn_01x06","PinHeader_1x06_P2.54mm_Vertical",-1.467323,0.359843,-90.000000,bottom
"J5","Conn_02x03_Odd_Even","PinHeader_2x03_P2.54mm_Vertical",-2.717323,0.309843,-90.000000,bottom
"R2","R_0805_2.2K","R_0805_2012Metric",-1.358758,2.934798,180.000000,bottom
"R3","R_0805_1K","R_0805_2012Metric",-1.767323,2.459843,90.000000,bottom
"R4","R_0805_2.2K","R_0805_2012Metric",-1.355592,2.846160,180.000000,bottom
"R7","R_0805_47","R_0805_2012Metric",-2.367323,0.659843,0.000000,bottom
"R8","R_0805_47","R_0805_2012Metric",-2.367323,0.559843,180.000000,bottom
"R14","R_0805_10K","R_0805_2012Metric",-4.017323,3.509843,-90.000000,bottom
"R16","R_0805_22K","R_0805_2012Metric",-2.517323,3.059843,180.000000,bottom
"R22","R_0805_47","R_0805_2012Metric",-3.867323,2.909843,180.000000,bottom
"R23","R_0805_47","R_0805_2012Metric",-3.867323,2.809843,180.000000,bottom
"SW1","Omron_B3F_SPST","SW_SPST_Omron_B3FS-100xP",-3.167323,0.859843,-90.000000,bottom
"U2","L7805","TO-252-2",-2.267323,2.509843,90.000000,bottom
"U3","DS1307_DIP-8","DIP-8_W7.62mm",-3.117323,1.659843,-90.000000,bottom
"U4","MAX7219","DIP-24_W7.62mm",-1.767126,3.509449,-90.000000,bottom
